127.0.0.1 - - [07/Aug/2020:07:57:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Aug/2020:07:57:11 +0900] "GET /exam_v1/resort/resv_mkdata.jsp HTTP/1.1" 200 169
192.168.23.97 - - [07/Aug/2020:07:57:16 +0900] "GET /exam_v1/resort/d_02.jsp HTTP/1.1" 200 4936
192.168.23.97 - - [07/Aug/2020:07:57:17 +0900] "GET /exam_v1/resort/adm_allview.jsp HTTP/1.1" 302 -
192.168.23.97 - - [07/Aug/2020:07:57:17 +0900] "GET /exam_v1/resort/adm_login.jsp?jump=adm_allview.jsp HTTP/1.1" 200 618
192.168.23.97 - - [07/Aug/2020:07:57:23 +0900] "POST /exam_v1/resort/adm_loginck.jsp HTTP/1.1" 302 -
192.168.23.97 - - [07/Aug/2020:07:57:25 +0900] "GET /exam_v1/resort/adm_allview.jsp HTTP/1.1" 200 22689
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/index.html HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/top.html HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/main.jsp HTTP/1.1" 200 23405
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/image/reallightresort.png HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/slicknav.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/animate.min.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/gijgo.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/magnific-popup.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/themify-icons.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/slick.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/style.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/nice-select.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/responsive.css HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/js/vendor/jquery-1.12.4.min.js HTTP/1.1" 304 -
